"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","entry_code","entry_date","exit_code","exit_date","AniGenId","AniBirthday","AniMotherLifeNumber","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield"
"62","47",3,2,2014-11-15,388,"NULL",2014-11-22,2014-11-15,2015-09-18,307,12109.126213,40.62671,1272.427169,2718.834919,1446.40775,4.687759,2.931655,2015-09-18,52,"FR4401572070","N",2010-10-20,"B",2017-09-12,2,2010-10-20,"",FALSE,11612.652038267,38.96101489,1220.257655071,2607.362687321,1387.10503225
"63","65",2,2,2014-11-28,390,"NULL",2014-12-02,2014-11-28,2015-11-12,349,10922.038834,32.234097,887.864064,2291.262108,1403.398044,4.077857,3.122,2015-11-12,NA,"FR4401572095",NA,NA,NA,NA,NA,2011-09-10,NA,FALSE,10474.235241806,30.912499023,851.461637376,2197.320361572,1345.858724196
"64","74",1,1,2014-12-15,391,"NULL",2014-12-23,2014-12-15,2015-01-16,32,985.048543,31.70625,878.349498,106.699027,-771.650471,4.793333,3.410606,2015-01-16,NA,"FR4401572105","N",2011-12-06,"E",2015-01-16,2,2011-12-06,"",FALSE,944.661552737,30.40629375,842.337168582,102.324366893,-740.012801689
"65","103",1,1,2014-12-23,393,"NULL",2014-12-26,2014-12-23,2015-01-28,36,1189.708737,34.038888,944.271831,245.43689,-698.834941,3.794594,3.242702,2015-01-28,NA,"FR4401572124","N",2012-12-06,"E",2015-01-28,2,2012-12-06,"",FALSE,1140.930678783,32.643293592,905.556685929,235.37397751,-670.182708419
"66","48",3,2,2014-12-25,395,"NULL",2015-01-31,2014-12-25,2015-11-12,322,13379.029126,42.796273,1012.621343,2895.339778,1882.718435,4.876687,3.161021,2015-11-12,33,"FR4401572072",NA,NA,NA,NA,NA,2010-12-31,NA,FALSE,12830.488931834,41.041625807,971.103867937,2776.630847102,1805.526979165
"67","98",1,1,2014-12-31,396,"NULL",2015-01-04,2014-12-31,2015-12-03,337,13019.320388,39.791988,787.766975,2223.106764,1435.339789,3.844733,3.007307,2015-12-03,44,"FR4401572119","N",2012-10-21,"B",2017-07-18,2,2012-10-21,"",FALSE,12485.528252092,38.160516492,755.468529025,2131.959386676,1376.490857651
"68","104",1,1,2015-01-03,397,"NULL",2015-01-13,2015-01-03,2015-01-30,27,433.883495,16.551851,433.883483,0,-433.883483,3.605185,3.12074,2015-01-30,NA,"FR4401572125",NA,NA,NA,NA,NA,2012-12-11,NA,FALSE,416.094271705,15.873225109,416.094260197,0,-416.094260197
"69","96",1,1,2015-01-03,398,"NULL",2015-01-13,2015-01-03,2015-02-27,55,1259.902912,23.594545,618.155326,641.747562,23.592236,3.451785,3.378571,2015-02-27,NA,"FR4401572114",NA,NA,NA,NA,NA,2012-05-30,NA,FALSE,1208.246892608,22.627168655,592.810957634,615.435911958,22.624954324
"70","83",1,1,2015-01-05,399,"NULL",2015-01-12,2015-01-05,2015-01-08,3,19.514563,6.7,19.514562,0,-19.514562,6.6575,4.4275,2015-01-08,NA,"FR4401572110",NA,NA,NA,NA,NA,2012-04-30,NA,FALSE,18.714465917,6.4253,18.714464958,0,-18.714464958
"71","31",4,2,2015-01-07,401,"NULL",2015-01-13,2015-01-07,2016-01-07,365,15498.252427,43.734794,1305.04853,3281.553363,1976.504833,4.625604,3.118406,2016-01-07,59,"FR4401572045","N",2009-09-25,"B",2018-07-24,2,2009-09-25,"",FALSE,14862.824077493,41.941667446,1251.54154027,3147.009675117,1895.468134847
