AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
909,1,1,2024-09-12 00:00:00.000,2372,NULL,2024-09-19 11:08:00.000,2024-09-12 00:00:00.000,2024-09-18 00:00:00.000,6,177.184466,30.416666,177.184464,0.000000,-177.184464,6.598571,4.171428,2024-09-18 00:00:00.000,NULL,FR 4404288548
910,1,1,2024-04-07 00:00:00.000,2296,NULL,2024-04-12 08:49:00.000,2024-04-07 00:00:00.000,2024-09-19 00:00:00.000,165,5295.922330,33.059393,743.786394,2057.961135,1314.174741,5.169096,3.467349,2024-09-19 00:00:00.000,NULL,FR 4404288549
914,1,1,2022-10-27 00:00:00.000,1960,,2022-11-03 15:57:00.000,2022-10-28 00:00:00.000,2023-08-18 00:00:00.000,294,10791.844660,37.808163,763.495131,2066.310651,1302.815520,3.521830,3.320440,2023-08-18 00:00:00.000,68,FR 4404288479
914,2,2,2023-10-25 00:00:00.000,2196,+ ORBESEAL,2023-11-01 14:39:00.000,2023-10-25 00:00:00.000,2024-07-19 00:00:00.000,268,11898.737864,45.730223,1288.640760,2838.737837,1550.097077,3.435762,3.251561,2024-07-19 00:00:00.000,NULL,FR 4404288479
915,1,1,2024-03-21 00:00:00.000,2281,NULL,2024-03-26 11:49:00.000,2024-03-22 00:00:00.000,2024-09-19 00:00:00.000,181,7286.407766,41.464088,1009.029112,2580.291232,1571.262120,3.393956,3.318351,2024-09-19 00:00:00.000,NULL,FR 44042808550
919,1,1,2024-04-11 00:00:00.000,2298,NULL,2024-04-18 12:37:00.000,2024-04-12 00:00:00.000,2024-09-19 00:00:00.000,160,5169.708737,33.280000,654.563093,2158.058221,1503.495128,4.159813,3.412546,2024-09-19 00:00:00.000,NULL,FR 44042808552
921,1,1,2024-04-04 00:00:00.000,2292,NULL,2024-04-11 16:10:00.000,2024-04-05 00:00:00.000,2024-09-19 00:00:00.000,167,6309.611650,38.915568,865.048528,2433.786381,1568.737853,3.836071,3.197202,2024-09-19 00:00:00.000,NULL,FR 44042808553
923,1,1,2024-04-01 00:00:00.000,2291,NULL,2024-04-08 08:16:00.000,2024-04-01 00:00:00.000,2024-09-19 00:00:00.000,171,5943.203883,35.798245,851.359212,2135.048511,1283.689299,3.680348,3.184593,2024-09-19 00:00:00.000,NULL,FR 44042808554
927,1,1,2024-03-17 00:00:00.000,2277,NULL,2024-03-22 21:42:00.000,2024-03-18 00:00:00.000,2024-09-19 00:00:00.000,185,6254.563106,34.822702,740.776687,2067.378612,1326.601925,3.379623,3.170645,2024-09-19 00:00:00.000,NULL,FR 44042808555
928,1,1,2024-07-03 00:00:00.000,2320,NULL,2024-07-10 09:06:00.000,2024-07-03 00:00:00.000,2024-09-19 00:00:00.000,78,3319.417475,43.833333,1075.339794,2244.077648,1168.737854,4.471392,3.186075,2024-09-19 00:00:00.000,NULL,FR 44042808556
931,1,1,2024-03-18 00:00:00.000,2276,NULL,2024-03-25 12:10:00.000,2024-03-18 00:00:00.000,2024-09-19 00:00:00.000,185,4814.466019,26.804864,545.825228,1610.194145,1064.368917,4.659405,3.668108,2024-09-19 00:00:00.000,NULL,FR 4404288557
932,1,1,2024-07-31 00:00:00.000,2332,NULL,2024-08-07 09:06:00.000,2024-07-31 00:00:00.000,2024-09-19 00:00:00.000,50,1370.679611,28.236000,667.864064,702.815526,34.951462,4.169791,3.333541,2024-09-19 00:00:00.000,NULL,FR 44042808558
935,1,1,2024-04-22 00:00:00.000,2305,NULL,2024-05-01 07:06:00.000,2024-04-24 00:00:00.000,2024-09-19 00:00:00.000,148,5108.834951,35.554729,782.038821,2196.699000,1414.660179,3.933221,3.488456,2024-09-19 00:00:00.000,NULL,FR 4404288559
