"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"115","FR4404288138",1,2013-09-23,FALSE,2016-10-18,2018-01-12,2018-01-12,13020.9,4.62871681415929,3.64513274336283,2018-01-12,NA,FALSE,2016-10-17,24,451
"116","FR4404288139",2,2013-09-23,TRUE,2017-09-09,2018-07-30,2018-07-30,8112.2,4.73216216216216,3.6639039039039,2018-07-30,50,FALSE,2017-09-09,24,324
"117","FR4404288139",3,2013-09-23,TRUE,2018-09-18,2019-08-14,2019-08-14,10591.4,4.75320474777448,3.58543026706231,2019-08-14,56,FALSE,2018-09-18,24,330
"118","FR4404288139",4,2013-09-23,TRUE,2019-10-09,2020-07-29,2020-07-29,10130.7,4.8678,3.5828,2020-07-29,51,FALSE,2019-10-09,24,294
"119","FR4404288139",5,2013-09-23,TRUE,2020-09-18,2021-07-27,2021-07-27,9283.60000000001,5.02668769716088,3.77028391167192,2021-07-27,58,FALSE,2020-09-17,24,312
"120","FR4404288139",6,2013-09-23,TRUE,2021-09-23,2022-07-22,2022-07-22,10927.4,4.97417218543046,3.69582781456954,2022-07-22,46,FALSE,2021-09-26,24,302
"121","FR4404288139",8,2013-09-23,TRUE,2022-09-24,2023-06-09,2023-06-09,9744.8,4.94946564885496,3.71404580152672,2023-06-09,83,FALSE,2022-09-23,24,258
"122","FR4404288139",9,2013-09-23,TRUE,2023-08-31,2024-06-14,2024-06-14,10007.8,5.1717747440273,3.76559726962457,2024-06-14,80,FALSE,2023-08-31,24,288
"123","FR4404288139",10,2013-09-23,TRUE,2024-09-02,2024-09-19,2024-09-19,574.6,4.30944444444444,3.87055555555556,2024-09-19,NA,TRUE,2024-09-02,24,17
"124","FR4404288140",2,2013-10-27,FALSE,2017-07-11,2018-06-01,2018-06-01,12495.1,4.16570570570571,3.27165165165165,2018-06-01,59,FALSE,2017-07-11,31,325
"125","FR4404288140",3,2013-10-27,FALSE,2018-07-30,2019-07-29,2019-07-29,13660.2,4.03086021505376,3.2827688172043,2019-07-29,53,FALSE,2018-07-30,31,364
"126","FR4404288140",4,2013-10-27,FALSE,2019-09-20,2020-08-21,2020-08-21,12403.8,4.00307917888563,3.28014662756598,2020-08-21,55,FALSE,2019-09-20,31,336
"127","FR4404288140",5,2013-10-27,FALSE,2020-10-15,2021-10-04,2021-10-04,12565.8,3.90941504178273,3.27345403899721,2021-10-04,112,FALSE,2020-10-15,31,354
"128","FR4404288140",6,2013-10-27,FALSE,2022-01-24,2023-01-29,2023-01-29,12718.5,4.15229333333333,3.33234666666667,2023-01-29,NA,FALSE,2022-01-23,31,370
"129","FR4404288141",1,2013-10-29,FALSE,2016-12-10,2017-11-10,2017-11-10,10643.9,4.44489614243323,3.14637982195846,2017-11-10,26,FALSE,2016-12-10,25,335
"130","FR4404288141",3,2013-10-29,FALSE,2018-01-14,2018-10-02,2018-10-02,9908.1,4.10873605947955,3.16631970260223,2018-10-02,75,FALSE,2018-01-14,25,261
"131","FR4404288141",4,2013-10-29,FALSE,2018-12-16,2019-10-08,2019-10-08,9622.79999999999,4.29335548172757,3.25960132890365,2019-10-08,99,FALSE,2018-12-16,25,296
"132","FR4404288141",5,2013-10-29,FALSE,2020-01-15,2021-01-07,2021-01-07,11497.8,4.53438356164384,3.22564383561644,2021-01-07,80,FALSE,2020-01-14,25,358
"133","FR4404288141",6,2013-10-29,FALSE,2021-03-28,2021-10-04,2021-10-04,8255.3,3.76212435233161,3.11720207253886,2021-10-04,NA,FALSE,2021-03-28,25,190
"134","FR4404288142",2,2013-11-03,FALSE,2017-03-11,2018-04-12,2018-04-12,10216.6,4.97769230769231,3.61161290322581,2018-04-12,21,FALSE,2017-03-11,24,397
"135","FR4404288145",2,2013-11-22,FALSE,2017-07-01,2018-04-12,2018-04-12,8543.2,5.14054794520548,3.52708904109589,2018-04-12,21,FALSE,2017-07-01,30,285
"136","FR4404288145",4,2013-11-22,FALSE,2018-07-30,2019-07-16,2019-07-16,10593.6,5.23175487465181,3.59406685236769,2019-07-16,69,FALSE,2018-07-30,30,351
"137","FR4404288145",5,2013-11-22,FALSE,2019-09-23,2020-07-29,2020-07-29,11357.9,5.35085443037975,3.50661392405063,2020-07-29,55,FALSE,2019-09-23,30,310
"138","FR4404288145",6,2013-11-22,FALSE,2020-09-22,2021-09-21,2021-09-21,11492.7,5.09208108108108,3.65237837837838,2021-09-21,120,FALSE,2020-09-22,30,364
"139","FR4404288145",7,2013-11-22,FALSE,2022-01-19,2022-11-14,2022-11-14,11112.4,5.35516556291391,3.45880794701987,2022-11-14,NA,FALSE,2022-01-19,30,299
"140","FR4404288146",2,2013-12-02,FALSE,2017-03-29,2018-06-15,2018-06-15,13889.6,4.17475555555556,3.42255555555556,2018-06-15,26,FALSE,2017-03-29,24,443
"141","FR4404288149",2,2014-01-14,FALSE,2017-06-12,2018-06-01,2018-06-01,10901.9,4.24256906077348,3.42430939226519,2018-06-01,74,FALSE,2017-06-11,28,354
"142","FR4404288149",3,2014-01-14,FALSE,2018-08-14,2019-07-21,2019-07-21,11826.1,4.31295977011494,3.39313218390805,2019-07-21,NA,FALSE,2018-08-14,28,341
"143","FR4404288150",2,2014-01-16,FALSE,2017-04-24,2018-09-24,2018-09-24,16588.3,5.15246212121212,3.21926136363636,2018-09-24,61,FALSE,2017-04-24,28,518
"144","FR4404288150",3,2014-01-16,FALSE,2018-11-24,2020-09-15,2020-09-15,21275.7,5.17724702380952,3.45605654761905,2020-09-15,NA,FALSE,2018-11-24,28,661
